"ip"	"date"	"reason"
"178.176.86.200"	2025-12-07	Russian Bot CLRMO
"185.127.26.25"	2025-12-07	Russian Bot CLRMO
"145.255.254.79"	2025-12-07	Russian Bot CLRMO
"185.220.101.84"	2025-12-07	Russian Bot CLRMO
"185.220.101.63"	2025-12-07	Russian Bot CLRMO
"185.246.188.73"	2025-12-07	Russian Bot CLRMO
"45.138.16.107"	2025-12-07	Russian Bot CLRMO
"91.203.5.115"	2025-12-07	Russian Bot CLRMO
"151.80.148.159"	2025-12-07	Russian Bot CLRMO
"185.220.101.1"	2025-12-07	Russian Bot CLRMO
"45.141.215.81"	2025-12-07	Russian Bot CLRMO
"192.42.116.213"	2025-12-07	Russian Bot CLRMO
"192.42.116.193"	2025-12-07	Russian Bot CLRMO
"188.213.34.118"	2025-12-07	Russian Bot CLRMO
"178.175.128.41"	2025-12-07	Russian Bot CLRMO
"5.42.66.20"	2025-12-07	Russian Bot CLRMO
"77.246.102.95"	2025-12-07	Russian Bot CLRMO
"91.238.45.81"	2025-12-07	Russian Bot CLRMO
"38.170.6.30"	2025-12-07	Russian Bot CLRMO
"185.220.101.27"	2025-12-07	Russian Bot CLRMO
"185.149.146.53"	2025-12-07	Russian Bot CLRMO
"185.186.245.71"	2025-12-07	Russian Bot CLRMO
"212.192.24.123"	2025-12-07	Russian Bot CLRMO
"178.176.85.73"	2025-12-07	Russian Bot CLRMO
"58.212.42.22"	2025-12-07	Russian Bot CLRMO
"81.200.221.55"	2025-12-07	Russian Bot CLRMO
"178.70.233.5"	2025-12-07	Russian Bot CLRMO
"178.176.83.173"	2025-12-07	Russian Bot CLRMO
"91.224.32.181"	2025-12-07	Russian Bot CLRMO
"2.58.95.35"	2025-12-07	Russian Bot CLRMO
"46.166.139.111"	2025-12-07	Russian Bot CLRMO
"185.220.100.253"	2025-12-07	Russian Bot CLRMO
"159.69.20.177"	2025-12-07	Russian Bot CLRMO
"178.176.82.87"	2025-12-07	Russian Bot CLRMO
"77.245.220.144"	2025-12-07	Russian Bot CLRMO
"145.255.251.181"	2025-12-07	Russian Bot CLRMO
"145.255.251.240"	2025-12-07	Russian Bot CLRMO
"172.86.68.150"	2025-12-07	Russian Bot CLRMO
"178.175.128.45"	2025-12-07	Russian Bot CLRMO
"84.54.51.31"	2025-12-07	Russian Bot CLRMO
"192.169.7.79"	2025-12-07	Russian Bot CLRMO
"81.200.221.185"	2025-12-07	Russian Bot CLRMO
"91.238.46.65"	2025-12-07	Russian Bot CLRMO
"165.231.182.100"	2025-12-07	Russian Bot CLRMO
"192.144.39.173"	2025-12-07	Russian Bot CLRMO
"213.232.235.104"	2025-12-07	Russian Bot CLRMO
"192.144.39.132"	2025-12-07	Russian Bot CLRMO
"54.39.18.217"	2025-12-07	Russian Bot CLRMO
"178.159.37.28"	2025-12-07	Russian Bot CLRMO
"195.123.228.18"	2025-12-07	Russian Bot CLRMO
"176.212.246.247"	2025-12-07	Russian Bot CLRMO
"91.121.209.11"	2025-12-07	Russian Bot CLRMO
"91.238.45.109"	2025-12-07	Russian Bot CLRMO
"38.180.115.61"	2025-12-07	Russian Bot CLRMO
"192.144.39.156"	2025-12-07	Russian Bot CLRMO
"91.229.239.235"	2025-12-07	Russian Bot CLRMO
"192.144.39.60"	2025-12-07	Russian Bot CLRMO
"191.102.170.112"	2025-12-07	Russian Bot CLRMO
"195.123.228.112"	2025-12-07	Russian Bot CLRMO
"176.123.1.108"	2025-12-07	Russian Bot CLRMO
"94.103.188.103"	2025-12-07	Russian Bot CLRMO
"62.197.49.27"	2025-12-07	Russian Bot CLRMO
"178.175.129.38"	2025-12-07	Russian Bot CLRMO
"178.175.128.36"	2025-12-07	Russian Bot CLRMO
"46.8.23.57"	2025-12-07	Russian Bot CLRMO
"46.8.14.161"	2025-12-07	Russian Bot CLRMO
"188.130.185.97"	2025-12-07	Russian Bot CLRMO
"185.181.244.202"	2025-12-07	Russian Bot CLRMO
"31.40.203.15"	2025-12-07	Russian Bot CLRMO
"2.59.50.134"	2025-12-07	Russian Bot CLRMO
"188.130.137.208"	2025-12-07	Russian Bot CLRMO
"46.8.223.160"	2025-12-07	Russian Bot CLRMO
"188.130.128.59"	2025-12-07	Russian Bot CLRMO
"46.8.106.233"	2025-12-07	Russian Bot CLRMO
"188.130.218.96"	2025-12-07	Russian Bot CLRMO
"45.15.73.51"	2025-12-07	Russian Bot CLRMO
"45.86.1.215"	2025-12-07	Russian Bot CLRMO
"185.181.244.61"	2025-12-07	Russian Bot CLRMO
"46.8.192.29"	2025-12-07	Russian Bot CLRMO
"46.8.57.67"	2025-12-07	Russian Bot CLRMO
"45.87.252.112"	2025-12-07	Russian Bot CLRMO
"188.130.186.105"	2025-12-07	Russian Bot CLRMO
"46.8.22.165"	2025-12-07	Russian Bot CLRMO
"46.8.106.102"	2025-12-07	Russian Bot CLRMO
"46.8.22.231"	2025-12-07	Russian Bot CLRMO
"194.35.113.246"	2025-12-07	Russian Bot CLRMO
"188.130.128.93"	2025-12-07	Russian Bot CLRMO
"45.15.73.213"	2025-12-07	Russian Bot CLRMO
"188.130.220.109"	2025-12-07	Russian Bot CLRMO
"188.130.137.6"	2025-12-07	Russian Bot CLRMO
"188.130.221.129"	2025-12-07	Russian Bot CLRMO
"46.8.23.11"	2025-12-07	Russian Bot CLRMO
"45.15.72.22"	2025-12-07	Russian Bot CLRMO
"188.130.143.75"	2025-12-07	Russian Bot CLRMO
"188.130.220.5"	2025-12-07	Russian Bot CLRMO
"109.248.13.22"	2025-12-07	Russian Bot CLRMO
"46.8.212.243"	2025-12-07	Russian Bot CLRMO
"213.232.235.91"	2025-12-07	Russian Bot CLRMO
"109.248.139.82"	2025-12-07	Russian Bot CLRMO
"46.8.22.239"	2025-12-07	Russian Bot CLRMO
"46.8.154.196"	2025-12-07	Russian Bot CLRMO
"194.34.248.39"	2025-12-07	Russian Bot CLRMO
"46.8.110.142"	2025-12-07	Russian Bot CLRMO
"109.248.55.203"	2025-12-07	Russian Bot CLRMO
"95.182.126.186"	2025-12-07	Russian Bot CLRMO
"109.72.127.188"	2025-12-07	Russian Bot CLRMO
"37.120.247.217"	2025-12-07	Russian Bot CLRMO
"46.8.22.42"	2025-12-07	Russian Bot CLRMO
"178.70.230.248"	2025-12-07	Russian Bot CLRMO
"109.248.142.122"	2025-12-07	Russian Bot CLRMO
