"ip"	"date"	"reason"
"104.168.92.81"	2025-12-07	Russian Bot CLRMO
"191.102.151.143"	2025-12-07	Russian Bot CLRMO
"170.130.115.132"	2025-12-07	Russian Bot CLRMO
"212.34.154.117"	2025-12-07	Russian Bot CLRMO
"195.26.227.70"	2025-12-07	Russian Bot CLRMO
"196.198.211.186"	2025-12-07	Russian Bot CLRMO
"69.16.145.39"	2025-12-07	Russian Bot CLRMO
"162.212.170.44"	2025-12-07	Russian Bot CLRMO
"194.87.220.73"	2025-12-07	Russian Bot CLRMO
"213.232.207.216"	2025-12-07	Russian Bot CLRMO
"107.158.95.42"	2025-12-07	Russian Bot CLRMO
"162.212.170.184"	2025-12-07	Russian Bot CLRMO
"170.130.115.233"	2025-12-07	Russian Bot CLRMO
"104.129.15.190"	2025-12-07	Russian Bot CLRMO
"69.16.145.52"	2025-12-07	Russian Bot CLRMO
"209.107.196.5"	2025-12-07	Russian Bot CLRMO
"216.131.105.153"	2025-12-07	Russian Bot CLRMO
"185.36.81.36"	2025-12-07	Russian Bot CLRMO
"94.102.49.46"	2025-12-07	Russian Bot CLRMO
"216.131.111.140"	2025-12-07	Russian Bot CLRMO
"69.16.145.213"	2025-12-07	Russian Bot CLRMO
"216.131.105.54"	2025-12-07	Russian Bot CLRMO
"69.16.145.190"	2025-12-07	Russian Bot CLRMO
"216.131.111.48"	2025-12-07	Russian Bot CLRMO
"45.84.107.128"	2025-12-07	Russian Bot CLRMO
"104.129.15.157"	2025-12-07	Russian Bot CLRMO
"107.172.181.234"	2025-12-07	Russian Bot CLRMO
"196.243.240.149"	2025-12-07	Russian Bot CLRMO
"185.21.12.95"	2025-12-07	Russian Bot CLRMO
"170.130.115.71"	2025-12-07	Russian Bot CLRMO
"5.1.9.205"	2025-12-07	Russian Bot CLRMO
"216.131.111.141"	2025-12-07	Russian Bot CLRMO
"64.238.203.210"	2025-12-07	Russian Bot CLRMO
"216.131.105.97"	2025-12-07	Russian Bot CLRMO
"216.131.111.13"	2025-12-07	Russian Bot CLRMO
"91.206.14.75"	2025-12-07	Russian Bot CLRMO
"69.16.145.129"	2025-12-07	Russian Bot CLRMO
"216.131.105.135"	2025-12-07	Russian Bot CLRMO
"216.131.105.61"	2025-12-07	Russian Bot CLRMO
"5.35.45.244"	2025-12-07	Russian Bot CLRMO
"185.121.232.229"	2025-12-07	Russian Bot CLRMO
"5.1.7.53"	2025-12-07	Russian Bot CLRMO
"89.110.99.186"	2025-12-07	Russian Bot CLRMO
"216.131.105.6"	2025-12-07	Russian Bot CLRMO
"216.131.105.177"	2025-12-07	Russian Bot CLRMO
"23.19.248.56"	2025-12-07	Russian Bot CLRMO
"154.16.69.88"	2025-12-07	Russian Bot CLRMO
"31.184.215.152"	2025-12-07	Russian Bot CLRMO
"216.131.114.221"	2025-12-07	Russian Bot CLRMO
"107.174.108.112"	2025-12-07	Russian Bot CLRMO
"216.131.114.137"	2025-12-07	Russian Bot CLRMO
"88.210.35.166"	2025-12-07	Russian Bot CLRMO
"94.181.165.225"	2025-12-07	Russian Bot CLRMO
"5.35.37.26"	2025-12-07	Russian Bot CLRMO
"91.84.114.150"	2025-12-07	Russian Bot CLRMO
"5.1.9.141"	2025-12-07	Russian Bot CLRMO
"91.84.114.45"	2025-12-07	Russian Bot CLRMO
"89.110.64.239"	2025-12-07	Russian Bot CLRMO
"64.238.203.228"	2025-12-07	Russian Bot CLRMO
"158.94.56.106"	2025-12-07	Russian Bot CLRMO
"23.108.44.162"	2025-12-07	Russian Bot CLRMO
"23.108.44.10"	2025-12-07	Russian Bot CLRMO
"50.3.167.61"	2025-12-07	Russian Bot CLRMO
"5.1.8.103"	2025-12-07	Russian Bot CLRMO
"216.131.105.183"	2025-12-07	Russian Bot CLRMO
"216.131.114.35"	2025-12-07	Russian Bot CLRMO
"216.131.114.82"	2025-12-07	Russian Bot CLRMO
"154.47.19.206"	2025-12-07	Russian Bot CLRMO
"23.108.86.126"	2025-12-07	Russian Bot CLRMO
"69.16.145.27"	2025-12-07	Russian Bot CLRMO
"216.131.105.176"	2025-12-07	Russian Bot CLRMO
"216.131.114.202"	2025-12-07	Russian Bot CLRMO
"31.128.162.108"	2025-12-07	Russian Bot CLRMO
"85.203.15.172"	2025-12-07	Russian Bot CLRMO
"5.1.9.33"	2025-12-07	Russian Bot CLRMO
"216.131.105.48"	2025-12-07	Russian Bot CLRMO
"216.131.114.173"	2025-12-07	Russian Bot CLRMO
"5.1.11.20"	2025-12-07	Russian Bot CLRMO
"216.131.105.171"	2025-12-07	Russian Bot CLRMO
"185.181.246.237"	2025-12-07	Russian Bot CLRMO
"188.130.129.189"	2025-12-07	Russian Bot CLRMO
"69.16.145.214"	2025-12-07	Russian Bot CLRMO
"5.1.9.102"	2025-12-07	Russian Bot CLRMO
"212.102.145.250"	2025-12-07	Russian Bot CLRMO
"89.110.114.187"	2025-12-07	Russian Bot CLRMO
"194.164.32.36"	2025-12-07	Russian Bot CLRMO
"147.135.40.104"	2025-12-07	Russian Bot CLRMO
"91.84.108.224"	2025-12-07	Russian Bot CLRMO
"89.110.108.109"	2025-12-07	Russian Bot CLRMO
"216.131.105.147"	2025-12-07	Russian Bot CLRMO
"216.131.105.31"	2025-12-07	Russian Bot CLRMO
"89.110.123.39"	2025-12-07	Russian Bot CLRMO
"5.1.8.79"	2025-12-07	Russian Bot CLRMO
"69.16.145.189"	2025-12-07	Russian Bot CLRMO
"23.129.64.219"	2025-12-07	Russian Bot CLRMO
"45.84.107.222"	2025-12-07	Russian Bot CLRMO
"216.131.105.164"	2025-12-07	Russian Bot CLRMO
"216.131.105.236"	2025-12-07	Russian Bot CLRMO
"216.131.105.206"	2025-12-07	Russian Bot CLRMO
"120.233.155.47"	2025-12-07	Russian Bot CLRMO
"205.185.222.135"	2025-12-07	Russian Bot CLRMO
"216.131.105.49"	2025-12-07	Russian Bot CLRMO
"175.4.8.54"	2025-12-07	Russian Bot CLRMO
"192.42.116.217"	2025-12-07	Russian Bot CLRMO
"112.35.70.139"	2025-12-07	Russian Bot CLRMO
"205.185.222.41"	2025-12-07	Russian Bot CLRMO
"104.248.249.189"	2025-12-07	Russian Bot CLRMO
"107.174.150.46"	2025-12-07	Russian Bot CLRMO
"216.131.105.30"	2025-12-07	Russian Bot CLRMO
"5.1.6.50"	2025-12-07	Russian Bot CLRMO
"51.210.112.19"	2025-12-07	Russian Bot CLRMO
"216.131.105.74"	2025-12-07	Russian Bot CLRMO
"37.252.15.23"	2025-12-07	Russian Bot CLRMO
"37.139.53.179"	2025-12-07	Russian Bot CLRMO
"89.110.67.233"	2025-12-07	Russian Bot CLRMO
"212.34.132.213"	2025-12-07	Russian Bot CLRMO
"5.3.219.55"	2025-12-07	Russian Bot CLRMO
"193.29.106.22"	2025-12-07	Russian Bot CLRMO
"185.21.13.251"	2025-12-07	Russian Bot CLRMO
"87.240.52.143"	2025-12-07	Russian Bot CLRMO
"200.10.37.42"	2025-12-07	Russian Bot CLRMO
"213.135.159.122"	2025-12-07	Russian Bot CLRMO
"194.34.248.88"	2025-12-07	Russian Bot CLRMO
"195.2.67.223"	2025-12-07	Russian Bot CLRMO
"188.235.162.116"	2025-12-07	Russian Bot CLRMO
"91.201.114.210"	2025-12-07	Russian Bot CLRMO
"209.209.11.236"	2025-12-07	Russian Bot CLRMO
"212.102.39.148"	2025-12-07	Russian Bot CLRMO
"178.159.37.16"	2025-12-07	Russian Bot CLRMO
"62.84.101.242"	2025-12-07	Russian Bot CLRMO
"92.100.20.136"	2025-12-07	Russian Bot CLRMO
"5.1.7.78"	2025-12-07	Russian Bot CLRMO
"217.138.216.116"	2025-12-07	Russian Bot CLRMO
"64.31.3.126"	2025-12-07	Russian Bot CLRMO
"212.102.39.196"	2025-12-07	Russian Bot CLRMO
"158.173.20.55"	2025-12-07	Russian Bot CLRMO
"37.139.53.46"	2025-12-07	Russian Bot CLRMO
"158.173.20.89"	2025-12-07	Russian Bot CLRMO
"5.1.1.105"	2025-12-07	Russian Bot CLRMO
"65.109.87.248"	2025-12-07	Russian Bot CLRMO
"161.129.136.7"	2025-12-07	Russian Bot CLRMO
"82.147.84.13"	2025-12-07	Russian Bot CLRMO
"152.58.114.45"	2025-12-07	Russian Bot CLRMO
"112.33.25.179"	2025-12-07	Russian Bot CLRMO
"135.181.129.78"	2025-12-07	Russian Bot CLRMO
"172.236.235.77"	2025-12-07	Russian Bot CLRMO
"65.108.77.102"	2025-12-07	Russian Bot CLRMO
"5.1.7.114"	2025-12-07	Russian Bot CLRMO
"190.111.162.246"	2025-12-07	Russian Bot CLRMO
"146.103.112.239"	2025-12-07	Russian Bot CLRMO
"37.139.53.32"	2025-12-07	Russian Bot CLRMO
"37.139.53.226"	2025-12-07	Russian Bot CLRMO
"109.248.204.172"	2025-12-07	Russian Bot CLRMO
"83.221.20.209"	2025-12-07	Russian Bot CLRMO
"91.184.244.62"	2025-12-07	Russian Bot CLRMO
"2.59.50.39"	2025-12-07	Russian Bot CLRMO
"188.130.129.14"	2025-12-07	Russian Bot CLRMO
"46.8.11.250"	2025-12-07	Russian Bot CLRMO
"195.3.223.235"	2025-12-07	Russian Bot CLRMO
"82.147.84.12"	2025-12-07	Russian Bot CLRMO
"46.62.252.223"	2025-12-07	Russian Bot CLRMO
"45.128.199.148"	2025-12-07	Russian Bot CLRMO
"91.84.127.68"	2025-12-07	Russian Bot CLRMO
"144.124.253.85"	2025-12-07	Russian Bot CLRMO
"86.102.19.68"	2025-12-07	Russian Bot CLRMO
"51.83.239.94"	2025-12-07	Russian Bot CLRMO
"212.56.48.9"	2025-12-07	Russian Bot CLRMO
"46.202.218.5"	2025-12-07	Russian Bot CLRMO
"181.214.206.162"	2025-12-07	Russian Bot CLRMO
"46.36.220.6"	2025-12-07	Russian Bot CLRMO
"181.214.206.157"	2025-12-07	Russian Bot CLRMO
"91.84.121.201"	2025-12-07	Russian Bot CLRMO
"134.199.159.23"	2025-12-07	Russian Bot CLRMO
"181.214.206.140"	2025-12-07	Russian Bot CLRMO
"144.124.238.85"	2025-12-07	Russian Bot CLRMO
"158.173.20.103"	2025-12-07	Russian Bot CLRMO
"46.8.17.44"	2025-12-07	Russian Bot CLRMO
"185.129.62.63"	2025-12-07	Russian Bot CLRMO
"212.56.48.103"	2025-12-07	Russian Bot CLRMO
"46.8.22.96"	2025-12-07	Russian Bot CLRMO
"181.214.206.103"	2025-12-07	Russian Bot CLRMO
"5.1.8.215"	2025-12-07	Russian Bot CLRMO
"158.173.21.103"	2025-12-07	Russian Bot CLRMO
"37.139.53.20"	2025-12-07	Russian Bot CLRMO
"37.139.53.84"	2025-12-07	Russian Bot CLRMO
"37.139.53.202"	2025-12-07	Russian Bot CLRMO
"158.173.21.167"	2025-12-07	Russian Bot CLRMO
"46.161.7.167"	2025-12-07	Russian Bot CLRMO
"5.1.11.248"	2025-12-07	Russian Bot CLRMO
"91.84.124.42"	2025-12-07	Russian Bot CLRMO
"69.16.145.123"	2025-12-07	Russian Bot CLRMO
"212.56.48.155"	2025-12-07	Russian Bot CLRMO
"91.184.245.127"	2025-12-07	Russian Bot CLRMO
"185.223.152.58"	2025-12-07	Russian Bot CLRMO
"3.149.246.254"	2025-12-07	Russian Bot CLRMO
"158.173.20.73"	2025-12-07	Russian Bot CLRMO
"103.60.12.66"	2025-12-07	Russian Bot CLRMO
"158.173.20.24"	2025-12-07	Russian Bot CLRMO
"144.124.249.111"	2025-12-07	Russian Bot CLRMO
"188.130.221.106"	2025-12-07	Russian Bot CLRMO
"45.67.229.31"	2025-12-07	Russian Bot CLRMO
"45.11.20.111"	2025-12-07	Russian Bot CLRMO
"146.103.115.7"	2025-12-07	Russian Bot CLRMO
"143.58.144.105"	2025-12-07	Russian Bot CLRMO
"144.124.226.124"	2025-12-07	Russian Bot CLRMO
"188.130.129.69"	2025-12-07	Russian Bot CLRMO
"2.59.50.17"	2025-12-07	Russian Bot CLRMO
"46.8.22.71"	2025-12-07	Russian Bot CLRMO
"188.130.143.112"	2025-12-07	Russian Bot CLRMO
"109.248.204.72"	2025-12-07	Russian Bot CLRMO
"158.173.21.65"	2025-12-07	Russian Bot CLRMO
